pert_id	cmap_name	target	moa	compound_aliases	inchi_key
BRD-A55424491	methotrexate	DHFR	Dihydrofolate reductase inhibitor	methrotrexate	FBOZXECLQNJBKD-UHFFFAOYSA-N
BRD-K53972329	ruxolitinib				HFNKQEVNSGCOJV-OAHLLOKOSA-N
BRD-K82746043	navitoclax	BCL2	BCL inhibitor		JLYAXFNOILIKPP-KXQOOQHDSA-N
BRD-K82746043	navitoclax	BCL2L1	BCL inhibitor		JLYAXFNOILIKPP-KXQOOQHDSA-N
BRD-K82746043	navitoclax	BCL2L2	BCL inhibitor		JLYAXFNOILIKPP-KXQOOQHDSA-N
BRD-K51313569	palbociclib	CDK4	CDK inhibitor		AHJRHEGDXFFMBM-UHFFFAOYSA-N
BRD-K51313569	palbociclib	CDK6	CDK inhibitor		AHJRHEGDXFFMBM-UHFFFAOYSA-N
BRD-K19034817	pacritinib	FLT3	JAK inhibitor		HWXVIOGONBBTBY-ONEGZZNKSA-N
BRD-K19034817	pacritinib	JAK2	JAK inhibitor		HWXVIOGONBBTBY-ONEGZZNKSA-N
BRD-K36280065	tofacitinib	JAK1	JAK inhibitor		UJLAWZDWDVHWOW-AAEUAGOBSA-N
BRD-K36280065	tofacitinib	JAK2	JAK inhibitor		UJLAWZDWDVHWOW-AAEUAGOBSA-N
BRD-K36280065	tofacitinib	JAK3	JAK inhibitor		UJLAWZDWDVHWOW-AAEUAGOBSA-N
BRD-K49328571	dasatinib	EPHA2	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	ABL1	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	FYN	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	KIT	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LCK	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	LYN	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	PDGFRB	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	BCR	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	SRC	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K49328571	dasatinib	YES1	KIT inhibitor		ZBNZXTGUTAYRHI-UHFFFAOYSA-N
BRD-K92723993	imatinib	CSF1R	KIT inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	ABL1	KIT inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	KIT	KIT inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	PDGFRA	KIT inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	PDGFRB	KIT inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K92723993	imatinib	BCR	KIT inhibitor		KTUFNOKKBVMGRW-UHFFFAOYSA-N
BRD-K13646352	midostaurin	FLT3	KIT inhibitor		BMGQWWVMWDBQGC-IIFHNQTCSA-N
BRD-K13646352	midostaurin	KIT	KIT inhibitor		BMGQWWVMWDBQGC-IIFHNQTCSA-N
BRD-K13646352	midostaurin	FLT3	PKC inhibitor		BMGQWWVMWDBQGC-IIFHNQTCSA-N
BRD-K13646352	midostaurin	KIT	PKC inhibitor		BMGQWWVMWDBQGC-IIFHNQTCSA-N
BRD-K99964838	bosutinib	ABL1	Src inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K99964838	bosutinib	HCK	Src inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K99964838	bosutinib	LYN	Src inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
BRD-K99964838	bosutinib	BCR	Src inhibitor		UBPYILGKFZZVDX-UHFFFAOYSA-N
