gene_id	gene_symbol	gene_title	gene_type	src	feature_space
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding	NCBI	landmark
142	PARP1	poly(ADP-ribose) polymerase 1	protein-coding	NCBI	landmark
207	AKT1	AKT serine/threonine kinase 1	protein-coding	NCBI	landmark
332	BIRC5	baculoviral IAP repeat containing 5	protein-coding	NCBI	landmark
581	BAX	BCL2 associated X, apoptosis regulator	protein-coding	NCBI	landmark
595	CCND1	cyclin D1	protein-coding	NCBI	landmark
596	BCL2	BCL2 apoptosis regulator	protein-coding	NCBI	landmark
637	BID	BH3 interacting domain death agonist	protein-coding	NCBI	landmark
672	BRCA1	BRCA1 DNA repair associated	protein-coding	NCBI	landmark
836	CASP3	caspase 3	protein-coding	NCBI	landmark
890	CCNA2	cyclin A2	protein-coding	NCBI	landmark
891	CCNB1	cyclin B1	protein-coding	NCBI	landmark
896	CCND3	cyclin D3	protein-coding	NCBI	landmark
983	CDK1	cyclin dependent kinase 1	protein-coding	NCBI	landmark
1017	CDK2	cyclin dependent kinase 2	protein-coding	NCBI	landmark
1019	CDK4	cyclin dependent kinase 4	protein-coding	NCBI	landmark
1021	CDK6	cyclin dependent kinase 6	protein-coding	NCBI	landmark
1026	CDKN1A	cyclin dependent kinase inhibitor 1A	protein-coding	NCBI	landmark
1027	CDKN1B	cyclin dependent kinase inhibitor 1B	protein-coding	NCBI	landmark
1029	CDKN2A	cyclin dependent kinase inhibitor 2A	protein-coding	NCBI	landmark
1050	CEBPA	CCAAT enhancer binding protein alpha	protein-coding	NCBI	landmark
1111	CHEK1	checkpoint kinase 1	protein-coding	NCBI	landmark
1786	DNMT1	DNA methyltransferase 1	protein-coding	NCBI	landmark
1788	DNMT3A	DNA methyltransferase 3 alpha	protein-coding	NCBI	landmark
1848	DUSP6	dual specificity phosphatase 6	protein-coding	NCBI	landmark
1956	EGFR	epidermal growth factor receptor	protein-coding	NCBI	landmark
1978	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	protein-coding	NCBI	landmark
2064	ERBB2	erb-b2 receptor tyrosine kinase 2	protein-coding	NCBI	landmark
2113	ETS1	ETS proto-oncogene 1, transcription factor	protein-coding	NCBI	landmark
2146	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	protein-coding	NCBI	landmark
2353	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	protein-coding	NCBI	landmark
2534	FYN	FYN proto-oncogene, Src family tyrosine kinase	protein-coding	NCBI	landmark
2624	GATA2	GATA binding protein 2	protein-coding	NCBI	landmark
2736	GLI2	GLI family zinc finger 2	protein-coding	NCBI	landmark
3066	HDAC2	histone deacetylase 2	protein-coding	NCBI	landmark
3091	HIF1A	hypoxia inducible factor 1 subunit alpha	protein-coding	NCBI	landmark
3280	HES1	hes family bHLH transcription factor 1	protein-coding	NCBI	landmark
3551	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta	protein-coding	NCBI	landmark
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	protein-coding	NCBI	landmark
3815	KIT	KIT proto-oncogene, receptor tyrosine kinase	protein-coding	NCBI	landmark
4609	MYC	MYC proto-oncogene, bHLH transcription factor	protein-coding	NCBI	landmark
4791	NFKB2	nuclear factor kappa B subunit 2	protein-coding	NCBI	landmark
4792	NFKBIA	NFKB inhibitor alpha	protein-coding	NCBI	landmark
4851	NOTCH1	notch receptor 1	protein-coding	NCBI	landmark
4893	NRAS	NRAS proto-oncogene, GTPase	protein-coding	NCBI	landmark
5211	PFKL	phosphofructokinase, liver type	protein-coding	NCBI	landmark
