sig_id	pert_id	pert_mfc_id	cmap_name	pert_type	cell_iname	pert_idose	pert_itime	is_hiq	cc_q75
ABY001_A375_XH:BRD-K81418486:10:24	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	A375	10 uM	24 h	1	0.77
ABY001_A549_XH:BRD-K81418486:10:24	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	A549	10 uM	24 h	1	0.75
ABY001_PC3_XH:BRD-K81418486:10:24	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	PC3	10 uM	24 h	1	0.76
ASG001_PC3_24H:BRD-K81418486-001-24-4:10	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	PC3	10 uM	24 h	1	0.78
ASG001_PC3_6H:A08	BRD-K71879491	BRD-K71879491-001-17-6	tretinoin	trt_cp	PC3	10 uM	6 h	1	0.2612
ASG002_A549_24H:D10	BRD-K02130563	BRD-K02130563	panobinostat	trt_cp	A549	10 uM	24 h	1	0.8632
ASG002_A549_24H:D22	BRD-K92723993	BRD-K92723993	imatinib	trt_cp	A549	10 uM	24 h	1	0.2562
ASG002_A549_24H:G13	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	A549	10 uM	24 h	1	0.8346
ASG002_A549_24H:G22	BRD-K77908580	BRD-K77908580	entinostat	trt_cp	A549	10 uM	24 h	1	0.7894
ASG002_A549_24H:I07	BRD-K49328571	BRD-K49328571	dasatinib	trt_cp	A549	10 uM	24 h	1	0.5588
ASG002_A549_24H:I20	BRD-K44227013	BRD-K44227013	ponatinib	trt_cp	A549	1.11 uM	24 h	1	0.38
ASG002_A549_24H:K04	BRD-K93918653	BRD-K93918653	quizartinib	trt_cp	A549	10 uM	24 h	1	0.4039
ASG002_PC3_24H:D10	BRD-K02130563	BRD-K02130563	panobinostat	trt_cp	PC3	10 uM	24 h	1	0.8679
ASG002_PC3_24H:D22	BRD-K92723993	BRD-K92723993	imatinib	trt_cp	PC3	10 uM	24 h	1	0.1924
ASG002_PC3_24H:G13	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	PC3	10 uM	24 h	1	0.855
ASG002_PC3_24H:G22	BRD-K77908580	BRD-K77908580	entinostat	trt_cp	PC3	10 uM	24 h	1	0.8349
ASG002_PC3_24H:I07	BRD-K49328571	BRD-K49328571	dasatinib	trt_cp	PC3	10 uM	24 h	1	0.5371
ASG002_PC3_24H:I19	BRD-K44227013	BRD-K44227013	ponatinib	trt_cp	PC3	10 uM	24 h	1	0.6791
ASG002_PC3_24H:I20	BRD-K44227013	BRD-K44227013	ponatinib	trt_cp	PC3	1.11 uM	24 h	1	0.2921
ASG002_PC3_24H:K04	BRD-K93918653	BRD-K93918653	quizartinib	trt_cp	PC3	10 uM	24 h	1	0.3336
ASG002_PC3_24H:P16	BRD-K51313569	BRD-K51313569	palbociclib	trt_cp	PC3	10 uM	24 h	1	0.6303
ASG003_A549_24H:F04	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	A549	10 uM	24 h	1	0.9031
