gene_id	gene_symbol	gene_title	gene_type	src	feature_space
7157	TP53	tumor protein p53	protein-coding	EG	landmark
4609	MYC	MYC proto-oncogene	protein-coding	EG	landmark
6774	STAT3	signal transducer and activator of transcription 3	protein-coding	EG	landmark
1956	EGFR	epidermal growth factor receptor	protein-coding	EG	landmark
3845	KRAS	KRAS proto-oncogene	protein-coding	EG	landmark
207	AKT1	AKT serine/threonine kinase 1	protein-coding	EG	landmark
596	BCL2	BCL2 apoptosis regulator	protein-coding	EG	landmark
1017	CDK2	cyclin dependent kinase 2	protein-coding	EG	landmark
595	CCND1	cyclin D1	protein-coding	EG	landmark
5594	MAPK1	mitogen-activated protein kinase 1	protein-coding	EG	landmark
5290	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	protein-coding	EG	landmark
5728	PTEN	phosphatase and tensin homolog	protein-coding	EG	landmark
3717	JAK2	Janus kinase 2	protein-coding	EG	landmark
3065	HDAC1	histone deacetylase 1	protein-coding	EG	landmark
6714	SRC	SRC proto-oncogene	protein-coding	EG	landmark
25	ABL1	ABL proto-oncogene 1	protein-coding	EG	landmark
4851	NOTCH1	notch receptor 1	protein-coding	EG	landmark
7422	VEGFA	vascular endothelial growth factor A	protein-coding	EG	landmark
2353	FOS	Fos proto-oncogene	protein-coding	EG	landmark
3725	JUN	Jun proto-oncogene	protein-coding	EG	landmark
